,Actual Value,RF,GB,ST
2718,122.22,136.38295865056736,100.90873543479069,98.05814273690626
2654,62.35000000000001,63.591159418661334,57.62324690511188,57.93696338449411
1666,50.0,60.0354115487501,48.97342923278777,47.78430681574511
5153,125.0,69.83877706828925,77.21938325227646,80.3808253069871
5653,134.18,184.9607709014861,194.5707254619508,191.4293684100122
5369,68.83000000000001,67.8385288732723,73.20021532158404,76.56505231592102
982,254.67000000000007,203.4052676107194,180.63014434540196,198.1928973337602
5433,90.05999999999999,66.60309618802697,69.76715870505565,72.04297893496907
1699,210.52999999999997,186.02494679055243,209.60888576384423,199.2511697095611
5261,203.32999999999998,181.60143820542856,210.12250756439855,213.54314539866712
2185,78.48,69.7361870585412,79.45867535147092,82.41868264691104
5214,104.5,101.020576401319,139.01013923079833,139.04107516339414
6499,110.63999999999999,74.34438558516324,85.0566791743414,86.5531966279742
3805,231.43000000000006,173.72978166139,196.58784313711774,199.1788611792758
4003,93.98,68.52337372141383,77.22730672441195,79.8997790231996
4110,66.67000000000003,61.80482072892494,61.02107571395306,61.96112492549842
6201,101.42999999999999,73.2570802984598,73.57434119001684,75.08179855057004
3026,68.83000000000001,66.23194498349892,65.65750693509183,64.95332831451202
3774,55.07000000000001,70.16158499350824,53.978890141218514,53.38600447625072
622,160.00000000000003,193.48100162151934,209.53568496437657,201.2983435511424
5479,61.449999999999974,64.03415864966314,56.85900557467333,57.63671109894675
96,200.0,144.67087110391435,160.0501090894636,157.15945590334354
3312,150.0,170.61449819347314,195.77619024631952,213.9657024653534
3684,70.71999999999998,65.34788080675204,66.13346495100551,66.91955051345225
496,49.720000000000006,58.71565064835584,49.584424115490165,49.41919329890911
4774,56.52,62.81338626859816,60.422460781661854,61.06811226566662
6042,74.03999999999998,67.43625192721494,70.69720194390831,74.15211319205451
3824,78.94999999999997,64.22497597896874,66.37462811163273,66.54164504099006
2945,227.7799999999999,190.37951895588904,205.20923080685426,202.95030352833757
1545,62.95999999999999,62.72773629425035,59.5637583816149,59.21388270912326
5481,210.00000000000003,161.2840104998744,172.2594690887732,174.80416917324982
2664,262.5,212.38135085974386,280.5609234320241,287.7403516522867
4406,151.93,71.8686533801956,87.21631943536333,82.65144877817731
5782,53.330000000000005,64.03902317529156,62.45799600323182,62.33226234362577
1905,75.22000000000001,66.87740971335724,68.18056239676996,69.42169092453587
994,45.71,58.135732800633235,49.7741348680322,48.4983606122059
324,84.44000000000001,75.1842089540917,78.00133271657599,78.96520782868666
1407,354.35,189.92576639010565,200.95600700726152,193.48362988744805
5071,40.00000000000001,66.84893087943388,75.0975426402813,76.96447490699302
2510,196.0,173.48093520805259,206.0992868781128,206.09847271065098
5893,160.00000000000003,144.70665464331773,152.60394630531528,153.40784030175692
3017,107.50000000000001,132.44085050422078,101.89505546469113,98.03057383341134
2829,59.29000000000001,66.46033859369543,71.34989210054628,74.73242935741652
747,56.25000000000001,73.77582446391295,68.60272499895632,68.49381584552398
17,74.65000000000003,66.40905121017926,69.28757683058907,69.0884943020537
5997,62.49999999999999,60.718113044084625,55.264824464423654,54.8245263162838
5435,8.600000000000001,38.58356772228059,10.118754723747381,8.202586210808542
2053,59.63999999999999,73.08814162639814,66.65524515371206,66.98516521753429
3377,87.95999999999998,67.65977058852756,77.15839109773933,79.49413806325492
3016,249.9999999999999,158.93177246979076,155.2248974573385,150.3714637742131
1801,64.44000000000003,58.490684002433596,52.19887019673286,51.47414037632894
6443,44.440000000000005,72.3292698466287,62.92873283946164,59.5997278614396
